Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Chile;Abono Mensual;DGO;740;TLC (Travel & Living Channel);SD;Mundo;No
Chile;Abono Mensual;DGO;742;History Channel;SD;Mundo;No
Chile;Abono Mensual;DGO;744;History 2;SD;Mundo;No
Chile;Abono Mensual;DGO;760;Univision;SD;Mundo;No
Chile;Abono Mensual;DGO;762;Antena 3;SD;Mundo;No
Chile;Abono Mensual;DGO;764;France 24 Español;SD;Mundo;No
Chile;Abono Mensual;DGO;766;RAI International;SD;Mundo;No
Chile;Abono Mensual;DGO;768;BBC News;SD;Mundo;No
Chile;Abono Mensual;DGO;770;Deutsche Welle (DW);SD;Mundo;No
Chile;Abono Mensual;DGO;772;Caracol TV;SD;Mundo;No
Chile;Abono Mensual;DGO;773;El Tiempo TV;SD;Mundo;No
Chile;Abono Mensual;DGO;775;RCN Nuestra Tele;SD;Mundo;No
Chile;Abono Mensual;DGO;778;RTP Internacional;SD;Mundo;No
Chile;Abono Mensual;DGO;784;El Trece Internacional;SD;Mundo;No
Chile;Abono Mensual;DGO;786;Telefe Internacional;SD;Mundo;No
Chile;Abono Mensual;DGO;790;CGTN Español;SD;Variedades;No
Chile;Abono Mensual;DGO;795;TV Perú;SD;Mundo;No
Chile;Abono Mensual;DGO;804;Escuela Más;SD;Variedades;No
Chile;Abono Mensual;DGO;1127;DShow HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1147;TV+ HD;HD;Nacional;No
Chile;Abono Mensual;DGO;1148;La Red HD;HD;Nacional;No
Chile;Abono Mensual;DGO;1149;TVN HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1150;Mega HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1151;CHV HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1152;Canal 13 HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1153;24 Horas HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1154;CNN Chile HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1155;Mega 2 HD;HD;Variedades;No
Chile;Abono Mensual;DGO;1156;13 C HD;HD;Nacional;Si
Chile;Abono Mensual;DGO;1157;Mega Noticias;HD;Nacional;Si
Chile;Abono Mensual;DGO;1158;CHV Noticias;HD;Nacional;No
Chile;Abono Mensual;DGO;1159;T13;HD;Nacional;No
Chile;Abono Mensual;DGO;1204;Star Channel HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1206;Warner Channel HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1207;A&E HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1208;Sony HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1209;AXN HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1210;AMC HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1213;TNT Series HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1214;Atres Series HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1215;Comedy Central HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1217;FX HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1218;Universal TV HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1219;USA Network HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1221;Hola TV HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1222;E! Entertainment HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1223;Investigation Discovery (ID) HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1228;Lifetime HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1229;Discovery Home & Health HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1231;A la Cocina TV;HD;Variedades;No
Chile;Abono Mensual;DGO;1232;El Gourmet HD;HD;Variedades;No
Chile;Abono Mensual;DGO;1233;Food Network HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1234;HGTV HD;HD;Variedades;No
Chile;Abono Mensual;DGO;1236;VePlus HD;HD;Variedades;No
Chile;Abono Mensual;DGO;1264;MTV HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1265;Music Top;HD;Variedades;No
Chile;Abono Mensual;DGO;1266;Tierra Mía HD;HD;Variedades;No
Chile;Abono Mensual;DGO;1270;Latina TV;HD;Variedades;No
Chile;Abono Mensual;DGO;1273;INTI Network HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1304;Cartoon Network HD;HD;Infantil;Si
Chile;Abono Mensual;DGO;1308;Nick HD;HD;Infantil;Si
Chile;Abono Mensual;DGO;1309;Nick Jr. HD;HD;Infantil;Si
Chile;Abono Mensual;DGO;1312;Disney Channel HD;HD;Infantil;Si
Chile;Abono Mensual;DGO;1315;Disney Junior HD;HD;Infantil;Si
Chile;Abono Mensual;DGO;1317;BabyTV;SD;Infantil;Si
Chile;Abono Mensual;DGO;1318;Plim Plim;HD;Infantil;No
Chile;Abono Mensual;DGO;1319;El Reino Infantil;HD;Infantil;No
Chile;Abono Mensual;DGO;1330;Discovery Kids HD;HD;Infantil;Si
Chile;Abono Mensual;DGO;1502;TNT HD;HD;Cine;Si
Chile;Abono Mensual;DGO;1503;Golden Plus HD;HD;Cine;No
Chile;Abono Mensual;DGO;1506;Sony Movies HD;HD;Cine;No
Chile;Abono Mensual;DGO;1507;Cinecanal HD;HD;Cine;No
Chile;Abono Mensual;DGO;1508;Studio Universal HD;HD;Cine;Si
Chile;Abono Mensual;DGO;1509;Cinemax HD;HD;Cine;Si
Chile;Abono Mensual;DGO;1510;Mórbido TV;HD;Cine;No
Chile;Abono Mensual;DGO;1513;DHE HD;HD;Cine;No
Chile;Abono Mensual;DGO;1518;Space HD;HD;Cine;Si
Chile;Abono Mensual;DGO;1524;HBO HD;HD;Cine;No
Chile;Abono Mensual;DGO;1610;DSports HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1612;DSports 2 HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1613;DSports+ HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1620;ESPN Premium;HD;Deportes;No
Chile;Abono Mensual;DGO;1621;ESPN HD;HD;Deportes;No
Chile;Abono Mensual;DGO;1622;ESPN 2 HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1623;ESPN 3 HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1624;ESPN 4 HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1625;ESPN 5 HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1626;ESPN 6 HD;HD;Deportes;No
Chile;Abono Mensual;DGO;1627;ESPN 7 HD;HD;Deportes;No
Chile;Abono Mensual;DGO;1628;Golf Channel HD;HD;Deportes;Si
Chile;Abono Mensual;DGO;1629;TyC Sports HD;HD;Deportes;No
Chile;Abono Mensual;DGO;1632;TNT Sports HD;HD;Deportes;No
Chile;Abono Mensual;DGO;1638;Teletrack HD;HD;Deportes;No
Chile;Abono Mensual;DGO;1639;PX Sports;HD;Deportes;No
Chile;Abono Mensual;DGO;1700;DNews HD;HD;Mundo;No
Chile;Abono Mensual;DGO;1720;Canal 26 HD;HD;Mundo;No
Chile;Abono Mensual;DGO;1724;TV Perú Noticias HD;HD;Mundo;No
Chile;Abono Mensual;DGO;1728;KZO HD;HD;Variedades;Si
Chile;Abono Mensual;DGO;1730;National Geographic HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1731;Discovery Theater HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1732;Discovery Channel HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1734;Animal Planet HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1738;Discovery World;HD;Mundo;Si
Chile;Abono Mensual;DGO;1740;Discovery Travel & Living Channel (TLC) HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1742;History HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1744;History 2 HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1762;Antena 3 HD;HD;Mundo;Si
Chile;Abono Mensual;DGO;1764;France 24 Español;HD;Mundo;No
Chile;Abono Mensual;DGO;1789;TV Ciudad HD;HD;Variedades;No
Chile;Abono Mensual;DGO;1795;TV Perú HD;HD;Mundo;No
Chile;Abono Mensual;DGO;1804;Escuela Más;HD;Mundo;Si
Chile;Abono Mensual;DGO;4000;Directv 4K;4K;4K;No
Chile;Abono Mensual;Plan Bronce Lite;100;Canal Informativo;Portal;Portal;Si
Chile;Abono Mensual;Plan Bronce Lite;127;DShow;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;146;NTV;SD;Mundo;Si
Chile;Abono Mensual;Plan Bronce Lite;148;La Red;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;149;TVN CHILE;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;150;Mega;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;151;Chilevision;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;152;Canal 13 Chile;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;153;24 Horas;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;154;CNN Chile;SD;Nacional;Si
Chile;Abono Mensual;Plan Bronce Lite;202;Star Channel;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;206;Warner Channel;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;207;A&E;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;208;Sony;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;209;AXN;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;210;AMC;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;213;TNT Series;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;214;AtresSeries Internacional;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;215;Comedy Central;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;216;TNT Novelas;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;217;FX;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;218;Universal TV;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;219;USA Network;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;220;Adult Swim;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;221;¡Hola! TV;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;222;E! Entertainment;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;223;Investigation Discovery (ID);SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;226;Las Estrellas;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;227;TLnovelas;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;228;Lifetime;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;229;Discovery Home & Health;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;230;Más Chic;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;231;Telemundo Internacional;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;232;El Gourmet;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;233;Food Network;SD;Variedades;No
Chile;Abono Mensual;Plan Bronce Lite;264;MTV;SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;269;Quiero Música en Mi Idioma (QMusic);SD;Variedades;Si
Chile;Abono Mensual;Plan Bronce Lite;304;Cartoon Network;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;308;Nickelodeon;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;309;Nick Jr.;SD;Infantil;No
Chile;Abono Mensual;Plan Bronce Lite;312;Disney Channel;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;315;Disney Junior;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;318;Plim Plim;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;319;El Reino Infantil;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;330;Discovery Kids;SD;Infantil;Si
Chile;Abono Mensual;Plan Bronce Lite;334;Cartoonito;SD;Infantil;No
Chile;Abono Mensual;Plan Bronce Lite;350;EWTN;SD;Religioso;Si
Chile;Abono Mensual;Plan Bronce Lite;351;Orbe 21;SD;Religioso;No
Chile;Abono Mensual;Plan Bronce Lite;352;Enlace;SD;Religioso;Si
Chile;Abono Mensual;Plan Bronce Lite;354;Canal Luz;SD;Religioso;No
