Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Puerto Rico;POS_PR;Demo;580;Showcase;HD;Cine;Si
Puerto Rico;POS_PR;Demo;581;Showtime Extreme;HD;Cine;Si
Puerto Rico;POS_PR;Demo;582;The Movie Channel;SD;Cine;Si
Puerto Rico;POS_PR;Demo;585;Starz;HD;Cine;Si
Puerto Rico;POS_PR;Demo;586;Starz Kids & Family;HD;Cine;Si
Puerto Rico;POS_PR;Demo;587;Starz Cinema;HD;Cine;Si
Puerto Rico;POS_PR;Demo;588;Encore Action;SD;Cine;Si
Puerto Rico;POS_PR;Demo;589;Encore;HD;Cine;Si
Puerto Rico;POS_PR;Demo;590;Encore Family;SD;Cine;Si
Puerto Rico;POS_PR;Demo;601;NBA League Pass;HD;Deportes;No
Puerto Rico;POS_PR;Demo;619;NBA League Pass;HD;Deportes;No
Puerto Rico;POS_PR;Demo;620;NFL Sunday Ticket;HD;Deportes;No
Puerto Rico;POS_PR;Demo;639;NFL Sunday Ticket;HD;Deportes;No
Puerto Rico;POS_PR;Demo;640;Thursday Night Football;HD;Deportes;No
Puerto Rico;POS_PR;Demo;645;ESPN;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;646;ESPN News;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;648;ESPN 2;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;649;ESPN Deportes;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;651;Fox Deportes;SD;Deportes;Si
Puerto Rico;POS_PR;Demo;652;The Tennis Channel;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;653;NBA TV;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;654;The Golf Channel;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;655;Fox Sports;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;656;MLB Network;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;657;WAPA Deportes;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;659;Racer Network;HD;Deportes;Si
Puerto Rico;POS_PR;Demo;702;CNN;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;704;CNN en Español;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;708;Headline News;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;710;Bloomberg;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;712;AccuWeather;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;714;Estrella TV;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;720;CSPAN2;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;730;Nat Geo Mundo;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;732;Discovery em Español;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;734;Animal Planet LA;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;735;Animal Planet US;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;742;History Andes;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;744;FYI;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;745;SyFy;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;746;Discovery Turbo;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;752;Discovery US;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;754;The Learning Channel;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;756;History Channel;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;760;TVE;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;762;Antena 3;SD;Mundo;Si
Puerto Rico;POS_PR;Demo;764;HITN;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;768;BBC América;HD;Mundo;Si
Puerto Rico;POS_PR;Demo;901;Music Choice Rock Hits;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;902;Music Choice 80s Rock;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;903;Music Choice Jazz Vocal Hits;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;904;Music Choice Country Hits;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;905;Music Choice New Age;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;906;Music Choice Funk;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;907;Music Choice 90s;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;908;Music Choice Blues;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;909;Music Choice Love Songs;Audio;Audio;Si
