Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Uruguay;Abono Mensual;Plata;600;Animal Planet;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;602;Discovery Turbo;SD;Variedades;No
Uruguay;Abono Mensual;Plata;604;Discovery Travel & Living Channel (TLC);SD;Variedades;Si
Uruguay;Abono Mensual;Plata;608;E! Entertainment;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;610;Discovery Theater HD;HD;Variedades;No
Uruguay;Abono Mensual;Plata;612;Discovery World;HD;Variedades;No
Uruguay;Abono Mensual;Plata;614;Adult Swim;SD;Variedades;No
Uruguay;Abono Mensual;Plata;620;MTV;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;622;Quiero Música en Mi Idioma (QMusic);SD;Variedades;Si
Uruguay;Abono Mensual;Plata;626;Music Top;HD;Variedades;No
Uruguay;Abono Mensual;Plata;628;Tierra Mía;HD;Variedades;No
Uruguay;Abono Mensual;Plata;642;Canal Rural;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;644;Chacra TV;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;700;Telemundo Internacional;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;702;Antena 3 Internacional;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;704;Deutsche Welle (DW);SD;Mundo;No
Uruguay;Abono Mensual;Plata;706;CNN en Español;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;708;CNN International;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;712;RAI Internacional;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;713;France 24 Español;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;714;BBC World News;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;718;CNN Chile;SD;Mundo;No
Uruguay;Abono Mensual;Plata;720;24 Horas;SD;Mundo;No
Uruguay;Abono Mensual;Plata;722;Bloomberg Television;SD;Mundo;No
Uruguay;Abono Mensual;Plata;724;Caracol Internacional;SD;Mundo;No
Uruguay;Abono Mensual;Plata;726;TV Perú Noticias;HD;Mundo;No
Uruguay;Abono Mensual;Plata;728;TV Perú;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;730;Univisión;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;732;NTN 24;SD;Mundo;No
Uruguay;Abono Mensual;Plata;734;CGTN Español;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;736;Cable Noticias;SD;Mundo;No
Uruguay;Abono Mensual;Plata;740;El Tiempo TV;SD;Mundo;No
Uruguay;Abono Mensual;Plata;742;TV Chile;SD;Mundo;No
Uruguay;Abono Mensual;Plata;744;RTP Internacional;SD;Mundo;No
Uruguay;Abono Mensual;Plata;748;Telefe Internacional;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;754;Ve Plus;HD;Variedades;No
Uruguay;Abono Mensual;Plata;780;EWTN;SD;Religioso;Si
Uruguay;Abono Mensual;Plata;782;Enlace;SD;Religioso;Si
Uruguay;Abono Mensual;Plata;784;Canal Luz;SD;Religioso;Si
Uruguay;Abono Mensual;Plata;786;DayStar;SD;Religioso;Si
Uruguay;Abono Mensual;Plata;788;Orbe 21;SD;Religioso;Si
Uruguay;Abono Mensual;Plata;805;PX Sports;HD;Deportes;No
Uruguay;Abono Mensual;Plata;904;Unión Radio Noticias;Radio;Radio;Si
