Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Barbados;Pospago;Directv Latino (Premium);775;RCN Nuestra Tele;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);784;El Trece Internacional;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);1127;DShow HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1214;Atres Series HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);1221;¡Hola! TV HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1235;IVC HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1236;VePlus HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1519;Atres Cinema HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);1624;ESPN 5 HD;HD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);1626;ESPN 6 HD;HD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);1627;ESPN 7 HD;HD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);1762;Antena 3 HD;HD;Nacional;Si
Barbados;Pospago;Exxotico;469;XTSY;SD;Hogar Y Variedades;Si
Barbados;Pospago;Exxotico;470;Hustler;SD;Adultos;Si
Barbados;Pospago;Gold / Gold +;131;CNC3;SD;Noticias;Si
Barbados;Pospago;Gold / Gold +;134;Synergy;SD;Nacional;Si
Barbados;Pospago;Gold / Gold +;201;OnDIRECTV;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;202;Star Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;203;GSN;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;206;Warner Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;207;A&E LA;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;208;Sony East;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;209;AXN;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;210;AMC LA;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;213;TNT Series;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;215;Comedy Central;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;216;TeenNick;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;217;FX;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;218;Universal TV;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;219;USA Network;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;220;Adult Swim;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;222;E! Entertainment;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;223;Investigation Discovery (ID);SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;228;Lifetime LA;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;229;Discovery Home & Health;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;233;Food Network US;SD;Gastronómico;Si
Barbados;Pospago;Gold / Gold +;250;HGTV US;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;251;Lifetime USA;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;253;BET;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;254;Paramount Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;256;A&E USA;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;260;MTV USA HD;SD;Musical;Si
Barbados;Pospago;Gold / Gold +;262;VH1 USA;SD;Musical;Si
Barbados;Pospago;Gold / Gold +;264;MTV LA;SD;Musical;Si
Barbados;Pospago;Gold / Gold +;304;Cartoon Network;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;308;Nickelodeon LA;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;314;Disney Channel;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;315;Disney Junior;SD;Infantil;Si
