Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Colombia;Pospago;Access Id;508;Studio Universal;SD;Cine;Si
Colombia;Pospago;Access Id;509;Cinemax;SD;Cine;No
Colombia;Pospago;Access Id;510;Mórbido TV;SD;Cine;No
Colombia;Pospago;Access Id;513;DHE;SD;Cine;No
Colombia;Pospago;Access Id;516;De Película;SD;Cine;No
Colombia;Pospago;Access Id;517;Golden Edge;SD;Cine;No
Colombia;Pospago;Access Id;518;Space;SD;Cine;Si
Colombia;Pospago;Access Id;524;HBO;SD;Cine;No
Colombia;Pospago;Access Id;525;HBO 2;SD;Cine;No
Colombia;Pospago;Access Id;526;HBO Plus HD;SD;Cine;No
Colombia;Pospago;Access Id;528;HBO Signature;SD;Cine;No
Colombia;Pospago;Access Id;534;HBO Family;SD;Cine;No
Colombia;Pospago;Access Id;540;HBO Mundi;SD;Cine;No
Colombia;Pospago;Access Id;541;HBO Pop;SD;Cine;No
Colombia;Pospago;Access Id;542;HBO Xtreme;SD;Cine;No
Colombia;Pospago;Access Id;571;Universal Premiere Este;SD;PPV;No
Colombia;Pospago;Access Id;572;Universal Cinema;SD;PPV;No
Colombia;Pospago;Access Id;573;Universal Comedy;SD;PPV;No
Colombia;Pospago;Access Id;574;Universal Crime Este;SD;PPV;No
Colombia;Pospago;Access Id;575;Universal Reality;SD;PPV;No
Colombia;Pospago;Access Id;576;Universal Premiere Oeste;SD;PPV;No
Colombia;Pospago;Access Id;577;Universal Cinema Oeste;SD;PPV;No
Colombia;Pospago;Access Id;610;DSports;SD;Deportes;Si
Colombia;Pospago;Access Id;612;DSports 2;SD;Deportes;Si
Colombia;Pospago;Access Id;613;DSports+;SD;Deportes;Si
Colombia;Pospago;Access Id;621;ESPN;SD;Deportes;Si
Colombia;Pospago;Access Id;622;ESPN 2;SD;Deportes;Si
Colombia;Pospago;Access Id;623;ESPN 3;SD;Deportes;Si
Colombia;Pospago;Access Id;625;ESPN 5;SD;Deportes;No
Colombia;Pospago;Access Id;626;ESPN 6;SD;Deportes;Si
Colombia;Pospago;Access Id;627;ESPN 7;SD;Deportes;Si
Colombia;Pospago;Access Id;628;Golf Channel Latinoamérica;SD;Deportes;No
Colombia;Pospago;Access Id;629;TyC Sports Internacional;SD;Deportes;No
Colombia;Pospago;Access Id;631;DSports Radio;Radio;Radio;No
Colombia;Pospago;Access Id;633;Win Sports;SD;Deportes;Si
Colombia;Pospago;Access Id;634;Win Sports Mas;SD;PPV;No
Colombia;Pospago;Access Id;700;DNews;SD;Mundo;Si
Colombia;Pospago;Access Id;704;CNN en Español;SD;Mundo;Si
Colombia;Pospago;Access Id;706;CNN International;SD;Mundo;No
Colombia;Pospago;Access Id;707;CNN Chile;SD;Mundo;No
Colombia;Pospago;Access Id;708;TVN 24 HORAS;SD;Mundo;No
