Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Ecuador;Abono Mensual;Familiar SD;509;Cinemax;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;510;Mórbido TV;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;513;DHE;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;515;Cinema;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;516;De Película;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;517;Golden Edge;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;518;Space;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;524;HBO Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;525;HBO 2;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;526;HBO Plus Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;528;HBO Signature;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;532;HBO Plus Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;534;HBO Family Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;538;MAX Prime Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;540;HBO Mundi;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;541;HBO Pop;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;542;HBO Xtreme;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;571;Universal Premiere Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;572;Universal Cinema;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;573;Universal Comedy;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;574;Universal Crime Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;575;Universal Reality;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;576;Universal Premiere Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;577;Universal Cinema Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;610;DSports;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;612;DSports 2;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;613;DSports+;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;616;Liga;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;621;ESPN;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;622;ESPN 2;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;623;ESPN 3;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;625;ESPN 5;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;626;ESPN 6;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;627;ESPN 7;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;628;The Golf Channel;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;629;TyC Sports;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;655;El Canal del Futbol;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;680;MLB Temporada;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;681;MLB Temporada;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;683;Dsports Venezuela;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;698;Dsports;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;699;DSports Eventos;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;700;DNews;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;704;CNN en Español;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;706;CNN International;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;707;CNN Chile;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;708;TVN 24 HORAS;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;710;Bloomberg Television;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;716;Todo Noticias (TN);SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;720;Canal 26;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;725;NTN 24;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;727;Cable Noticias;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;730;National Geographic;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;732;Discovery Channel;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;734;Animal Planet;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;736;Discovery Turbo;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;740;Discovery Travel & Living Channel (TLC);SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;742;History Channel;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;744;History 2;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;760;Univision;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;762;Antena 3;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;764;France 24 Español;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;766;Rai Italia;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;768;BBC News;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;770;Deutsche Welle (DW) Español;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;772;Caracol Internacional;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;773;El Tiempo TV;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;774;TV Chile;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;775;RCN Nuestra Tele;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;776;TV Globo;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;778;RTP Internacional;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;780;ZEE Mundo;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;782;NHK World;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;784;El Trece Internacional;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;786;Telefe Internacional;SD;Mundo;No
Ecuador;Abono Mensual;Familiar SD;790;CGTN;SD;Mundo;Si
