Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;732;DISCOVERY EN ESPAÑOL;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;734;ANIMAL PLANET LA;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;735;ANIMAL PLANET US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;742;HISTORY ANDES;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;744;FYI;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;754;THE LEARNING CHANNEL;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;756;HISTORY US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;760;TVE;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;764;HITN;SD;EDUCATIVO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;162;TELEMUNDO PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;164;WAPA TV;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;166;WIPR;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;167;UNIVISION;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;168;TELEONCE;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;169;DAYSTAR ESPAÑOL;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;170;FOX PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;172;ABC5 PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;174;CBS PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;176;NBC PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;179;PUNTO 2;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;181;TV DOMINICANA;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;182;TV CHILE;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;183;TELEORO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;185;TELECINCO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;188;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;189;QVC 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;190;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;191;HOME SHOPPING NETWORK 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;225;PASIONES;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;BASIC BARS PR;226;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;227;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;229;BLOSSOM;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;230;BET;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;249;TL NOVELAS;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;BASIC BARS PR;264;VICE;SD;INFORMATIVO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;268;SO YUMMY!;SD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;330;DISCOVERY KIDS LA;SD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;332;LOOLOO KIDS;SD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;338;VME;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;339;BABY FIRST TV;SD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;350;EWTN;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;352;ENLACE;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;354;CHRISTIAN TELEVISION NETWORK (CTN);SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;516;DE PELÍCULA;SD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;BASIC BARS PR;649;ESPN DEPORTES;HD;DEPORTES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;657;WAPA DEPORTES;HD;DEPORTES
PUERTO RICO;CORPORATIVO;BASIC BARS PR;704;CNN EN ESPAÑOL;SD;NOTICIAS
PUERTO RICO;CORPORATIVO;BASIC BARS PR;712;ACCUWEATHER;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;BASIC BARS PR;720;C-SPAN2;SD;INFORMATIVO
PUERTO RICO;CORPORATIVO;BASIC BARS PR;730;NAT GEO MUNDO;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PR;732;DISCOVERY EN ESPAÑOL;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PR;735;ANIMAL PLANET US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PR;742;HISTORY ANDES;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;BASIC BARS PR;760;TVE;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PR;764;HITN;SD;EDUCATIVO
PUERTO RICO;CORPORATIVO;CMBAR ST;162;TELEMUNDO PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;164;WAPA TV;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;166;WIPR;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;167;UNIVISION;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;168;TELEONCE;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;169;DAYSTAR ESPAÑOL;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;CMBAR ST;170;FOX PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;172;ABC5 PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;174;CBS PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;176;NBC PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;179;PUNTO 2;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;181;TV DOMINICANA;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;185;TELECINCO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;188;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;189;QVC 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;190;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;191;HOME SHOPPING NETWORK 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;220;BRAVO TV;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;225;PASIONES;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;CMBAR ST;226;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;227;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;228;FOOD NETWORK;HD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;CMBAR ST;229;BLOSSOM;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;244;TNT;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;246;USA;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;248;TBS;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;249;TL NOVELAS;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;CMBAR ST;250;HGTV;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;252;FREEFORM;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;254;PARAMOUNT;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;256;A&E;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;260;MTV;HD;MUSICAL
PUERTO RICO;CORPORATIVO;CMBAR ST;262;VH1;HD;MUSICAL
PUERTO RICO;CORPORATIVO;CMBAR ST;263;COMEDY CENTRAL;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;268;SO YUMMY!;SD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;CMBAR ST;320;CARTOON NETWORK;HD;INFANTIL
