Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
ARGENTINA;POSPAGO;BRONCE SD;610;DSPORTS;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;612;D SPORTS 2;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;613;D SPORTS+;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;620;TYC SPORTS;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;621;ESPN;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;622;ESPN 2;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;623;ESPN 3;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;631;DSPORTS RADIO;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;656;DEPORTV;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;700;DNEWS;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;704;CNN EN ESPAÑOL;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;715;LA NACIÓN+;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;716;TODO NOTICIAS;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;717;C5N;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;718;CRÓNICA TV;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;719;A24;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;720;CANAL 26;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;724;CHACRA TV;SD;EDUCATIVO
ARGENTINA;POSPAGO;BRONCE SD;726;TELEMAX;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;728;CANAL RURAL;SD;EDUCATIVO
ARGENTINA;POSPAGO;BRONCE SD;729;CONSTRUIR TV;SD;EDUCATIVO
ARGENTINA;POSPAGO;BRONCE SD;730;NATIONAL GEOGRAPHIC;SD;CIENCIA Y CULTURA
