Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);514;CINE LATINO;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);516;DE PELÍCULA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);624;ESPN 5;SD;DEPORTES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);626;ESPN 6;SD;DEPORTES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);627;ESPN 7;SD;DEPORTES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);707;CNN CHILE;SD;NOTICIAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);708;TVN 24 HORAS;SD;NOTICIAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);716;TODO NOTICIAS;SD;NOTICIAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);720;CANAL 26;SD;NOTICIAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);725;NTN 24;SD;NOTICIAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);727;CABLE NOTICIAS DE COLOMBIA;SD;NOTICIAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);760;UNIVISION;SD;NACIONAL
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);762;ANTENA 3;SD;NACIONAL
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);772;CARACOL INTERNACIONAL;SD;NACIONAL
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);775;RCN NUESTRA TELE;SD;NACIONAL
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);784;EL TRECE INTERNACIONAL;SD;NACIONAL
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1127;DSHOW HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1214;ATRES SERIES HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1221;¡HOLA! TV HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1235;IVC HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1236;VEPLUS HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1519;ATRES CINEMA HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1624;ESPN 5 HD;HD;DEPORTES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1626;ESPN 6 HD;HD;DEPORTES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1627;ESPN 7 HD;HD;DEPORTES
BARBADOS;POSPAGO;DIRECTV LATINO (PREMIUM);1762;ANTENA 3 HD;HD;NACIONAL
BARBADOS;POSPAGO;EXXOTICO;469;XTSY;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;EXXOTICO;470;HUSTLER;SD;ADULTOS
BARBADOS;POSPAGO;GOLD / GOLD +;131;CNC3;SD;NOTICIAS
BARBADOS;POSPAGO;GOLD / GOLD +;134;SYNERGY;SD;NACIONAL
BARBADOS;POSPAGO;GOLD / GOLD +;201;ON DIRECTV;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;202;STAR CHANNEL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;203;GSN;SD;HOGAR Y VARIEDADES
