Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
COLOMBIA;POSPAGO;ACCESS ID;627;ESPN 7;SD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;631;DSPORTS RADIO;AUDIO;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;633;WIN SPORTS;SD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;700;D NEWS;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;704;CNN EN ESPAÑOL;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;716;TODO NOTICIAS;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;720;CANAL 26;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;726;CANAL RURAL;SD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS ID;730;NATIONAL GEOGRAPHIC;SD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;732;DISCOVERY;SD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;764;FRANCE 24;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;774;TV CHILE INTERNACIONAL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;784;EL TRECE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;786;TELEFÉ;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;790;CGTN;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;980;UNIÓN RADIO NOTICIAS;AUDIO;AUDIO
COLOMBIA;POSPAGO;ACCESS ID;982;RADIO CARACOL;AUDIO;AUDIO
COLOMBIA;POSPAGO;ACCESS ID;984;RADIO FRANCE INTERNACIONAL;AUDIO;AUDIO
COLOMBIA;POSPAGO;ACCESS ID;991;LA FM PLUS;AUDIO;AUDIO
COLOMBIA;POSPAGO;ACCESS ID;992;ALERTA BOGOTÁ;AUDIO;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;993;LA W RADIO;AUDIO;AUDIO
COLOMBIA;POSPAGO;ACCESS ID;1127;DSHOW;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;1130;RCN;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1132;CARACOL;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1136;CANAL UNO;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1137;SEÑAL COLOMBIA;HD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS ID;1138;SEÑAL INSTITUCIONAL;HD;INFORMATIVO
COLOMBIA;POSPAGO;ACCESS ID;1140;TELEANTIOQUIA;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1141;TELEPACIFICO;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1142;TELECAFE;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1147;CABLE NOTICIAS;HD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;1204;STAR CHANNEL;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1206;WARNER;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1207;A&E;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1208;SONY;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1217;FX;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1218;UNIVERSAL;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1221;¡HOLA! TV;HD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;1222;E!;HD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;1223;ID HD;HD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;1229;DISCOVERY HOME & HEALTH;HD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;1232;EL GOURMET;HD;GASTRONÓMICO
COLOMBIA;POSPAGO;ACCESS ID;1236;VEPLUS;HD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;1264;MTV;HD;MUSICAL
COLOMBIA;POSPAGO;ACCESS ID;1265;MUSIC TOP;HD;MUSICAL
COLOMBIA;POSPAGO;ACCESS ID;1266;TIERRA MIA;HD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;1270;LATINA TV;HD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;1302;ESCUELA+;HD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS ID;1304;CARTOON NETWORK;HD;INFANTIL
COLOMBIA;POSPAGO;ACCESS ID;1308;NICKELODEON;HD;INFANTIL
COLOMBIA;POSPAGO;ACCESS ID;1312;DISNEY CHANNEL;HD;INFANTIL
COLOMBIA;POSPAGO;ACCESS ID;1315;DISNEY JUNIOR;HD;INFANTIL
COLOMBIA;POSPAGO;ACCESS ID;1318;PLIM PLIM;HD;INFANTIL
COLOMBIA;POSPAGO;ACCESS ID;1330;DISCOVERY KIDS;HD;INFANTIL
COLOMBIA;POSPAGO;ACCESS ID;1502;TNT;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1507;CINECANAL;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1508;STUDIO UNIVERSAL;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1518;SPACE;HD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;1610;DSPORTS;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1612;DSPORTS 2;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1613;DSPORTS +;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1621;ESPN;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1622;ESPN 2;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1623;ESPN 3;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1625;ESPN 5;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1626;ESPN 6;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1627;ESPN 7;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1633;WIN SPORTS;HD;DEPORTES
COLOMBIA;POSPAGO;ACCESS ID;1700;D NEWS;HD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;1730;NATIONAL GEOGRAPHIC;HD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;1732;DISCOVERY;HD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;1764;FRANCE 24;HD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;N/A;AMAZON PRIME;DIGITAL PREMIUM;AMAZON
COLOMBIA;POSPAGO;ACCESS+;117;TV FAMILIA;SD;RELIGIOSO
COLOMBIA;POSPAGO;ACCESS+;127;DSHOW;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS+;130;RCN;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;132;CARACOL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;133;CITY TV;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;134;CARACOL INTERNACIONAL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;135;RCN NUESTRA TELE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;136;CANAL UNO;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;137;SEÑAL COLOMBIA;SD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS+;138;SEÑAL INSTITUCIONAL;SD;INFORMATIVO
COLOMBIA;POSPAGO;ACCESS+;139;CANAL CONGRESO;SD;INFORMATIVO
COLOMBIA;POSPAGO;ACCESS+;140;TELEANTIOQUIA;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;141;TELEPACIFICO;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;142;TELECAFE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;143;CANAL CAPITAL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;144;TELECAFE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;145;NTN 24;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS+;146;EL TIEMPO;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS+;147;CABLE NOTICIAS;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS+;148;TRO;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;149;TRECE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;150;TELE ISLAS;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;151;TELEMEDELLIN;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;152;TV AGRO;SD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS+;202;STAR CHANNEL;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;204;STAR CHANNEL HD;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;206;WARNER;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;207;A&E;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;208;SONY;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;217;FX;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;218;UNIVERSAL;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;221;¡HOLA! TV;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS+;222;E!;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS+;223;ID;SD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS+;226;CANAL DE LAS ESTRELLAS;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS+;227;TL NOVELAS;SD;TELENOVELAS
COLOMBIA;POSPAGO;ACCESS+;229;DISCOVERY HOME & HEALTH;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS+;230;AMC SERIES;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS+;231;TELEMUNDO;SD;TELENOVELAS
COLOMBIA;POSPAGO;ACCESS+;232;EL GOURMET;SD;GASTRONÓMICO
COLOMBIA;POSPAGO;ACCESS+;264;MTV;SD;MUSICAL
COLOMBIA;POSPAGO;ACCESS+;269;QUIERO MÚSICA EN MI IDIOMA;SD;MUSICAL
COLOMBIA;POSPAGO;ACCESS+;270;MI GENTE 3.0;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS+;302;ESCUELA+;SD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS+;304;CARTOON NETWORK;SD;INFANTIL
